 2018/11/19 04:41:47 10.56.41.193    1.0016
 2018/11/19 04:41:48 10.61.128.1     979.68
 2018/11/19 04:41:49 10.61.2.1       942.69
 2018/11/19 04:41:55 10.61.6.1       0s
 2018/11/19 04:42:01 10.61.1.1       0s
 2018/11/19 04:42:02 10.61.129.1     986.67
 2018/11/19 04:42:03 10.61.129.144   989.68
 2018/11/19 04:42:04 10.61.131.1     951.69
 2018/11/19 04:42:10 10.61.133.1     0s
 2018/11/19 04:42:16 10.56.41.161    0s
 2018/11/19 04:50:17 10.61.128.1     985.68
 2018/11/19 04:50:18 10.61.2.1       1.3525
 2018/11/19 04:50:24 10.61.6.1       0s
 2018/11/19 04:50:30 10.61.1.1       0s
 2018/11/19 04:50:32 10.61.129.1     1.0396
 2018/11/19 04:50:32 10.61.129.144   920.70
 2018/11/19 04:50:34 10.61.131.1     1.0696
 2018/11/19 04:50:40 10.61.133.1     0s
 2018/11/19 04:50:46 10.56.41.161    0s
 2018/11/19 04:50:52 10.61.132.1     0s
 2018/11/19 04:50:53 10.61.130.1     1.1106
 2018/11/19 04:50:59 10.61.8.1       0s
 2018/11/19 04:51:00 10.61.130.144   1.0646
 2018/11/19 04:51:01 10.56.41.193    993.67
 2018/11/19 04:59:07 10.61.1.1       0s
 2018/11/19 04:59:08 10.61.128.1     949.69
 2018/11/19 04:59:09 10.61.2.1       968.68
 2018/11/19 04:59:15 10.61.6.1       0s
 2018/11/19 04:59:21 10.56.41.161    0s
 2018/11/19 04:59:22 10.61.129.1     977.68
 2018/11/19 04:59:23 10.61.129.144   930.69
 2018/11/19 04:59:24 10.61.131.1     962.68
 2018/11/19 04:59:30 10.61.133.1     0s
 2018/11/19 04:59:31 10.61.130.1     949.69
 2018/11/19 04:59:37 10.61.132.1     0s
 2018/11/19 04:59:38 10.56.41.193    1.1046
 2018/11/19 04:59:44 10.61.8.1       0s
 2018/11/19 04:59:45 10.61.130.144   965.68
 2018/11/19 05:07:51 10.61.133.1     0s
 2018/11/19 05:07:57 10.56.41.161    0s
 2018/11/19 05:07:58 10.61.129.1     1.0126
 2018/11/19 05:07:59 10.61.129.144   985.68
 2018/11/19 05:08:00 10.61.131.1     981.68
 2018/11/19 05:08:01 10.61.130.1     1.0446
 2018/11/19 05:08:07 10.61.132.1     0s
 2018/11/19 05:08:08 10.56.41.193    986.65
 2018/11/19 05:08:14 10.61.8.1       0s
 2018/11/19 05:08:15 10.61.130.144   957.68
 2018/11/19 05:08:21 10.61.1.1       0s
 2018/11/19 05:08:22 10.61.128.1     935.66
 2018/11/19 05:08:23 10.61.2.1       929.69
 2018/11/19 05:08:29 10.61.6.1       0s
 2018/11/19 05:16:30 10.61.129.1     932.69
 2018/11/19 05:16:31 10.61.129.144   977.68
 2018/11/19 05:16:32 10.61.131.1     938.69
 2018/11/19 05:16:38 10.61.133.1     0s
 2018/11/19 05:16:44 10.56.41.161    0s
 2018/11/19 05:16:50 10.61.132.1     0s
 2018/11/19 05:16:51 10.61.130.1     1.0156
 2018/11/19 05:16:57 10.61.8.1       0s
 2018/11/19 05:16:58 10.61.130.144   965.68
 2018/11/19 05:17:00 10.56.41.193    1.4595
 2018/11/19 05:17:01 10.61.128.1     1.1366
 2018/11/19 05:17:02 10.61.2.1       956.68
 2018/11/19 05:17:08 10.61.6.1       0s
 2018/11/19 05:17:14 10.61.1.1       0s
 2018/11/19 05:25:15 10.61.129.1     940.69
 2018/11/19 05:25:16 10.61.129.144   961.68
 2018/11/19 05:25:17 10.61.131.1     979.68
 2018/11/19 05:25:23 10.61.133.1     0s
 2018/11/19 05:25:29 10.56.41.161    0s
 2018/11/19 05:25:35 10.61.132.1     0s
 2018/11/19 05:25:36 10.61.130.1     945.69
 2018/11/19 05:25:42 10.61.8.1       0s
 2018/11/19 05:25:43 10.61.130.144   944.69
 2018/11/19 05:25:44 10.56.41.193    1.0996
 2018/11/19 05:25:45 10.61.128.1     962.69
 2018/11/19 05:25:46 10.61.2.1       996.67
 2018/11/19 05:25:52 10.61.6.1       0s
 2018/11/19 05:25:58 10.61.1.1       0s
 2018/11/19 05:34:04 10.61.1.1       0s
 2018/11/19 05:34:05 10.61.128.1     1.0736
 2018/11/19 05:34:06 10.61.2.1       955.69
 2018/11/19 05:34:12 10.61.6.1       0s
 2018/11/19 05:34:18 10.56.41.161    0s
 2018/11/19 05:34:19 10.61.129.1     1.0236
 2018/11/19 05:34:20 10.61.129.144   970.68
 2018/11/19 05:34:21 10.61.131.1     989.67
 2018/11/19 05:34:27 10.61.133.1     0s
 2018/11/19 05:34:28 10.61.130.1     936.69
 2018/11/19 05:34:34 10.61.132.1     0s
